time_identifier,time_period,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_type,num_schools,enrolments,sess_possible,sess_overall,sess_authorised,sess_unauthorised,sess_overall_percent,sess_authorised_percent,sess_unauthorised_percent,enrolments_pa10_exact,enrolments_pa10_exact_percent,sess_auth_illness,sess_auth_appointments,sess_auth_religious,sess_auth_study,sess_auth_traveller,sess_auth_holiday,sess_auth_ext_holiday,sess_auth_excluded,sess_auth_other,sess_auth_totalreasons,sess_unauth_holiday,sess_unauth_late,sess_unauth_other,sess_unauth_noyet,sess_unauth_totalreasons,sess_overall_totalreasons
six half terms,201617,local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Pupil Referral Unit,1,93,19568,6259,1709,4550,32,8.7,23.3,79,84.9,1131,80,0,0,48,10,.,264,176,1709,30,801,3716,3,4550,6259
six half terms,201617,local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Pupil Referral Unit,1,92,16846,3863,1647,2216,22.9,9.8,13.2,57,62,1022,237,0,0,0,56,.,107,225,1647,74,0,2107,35,2216,3863
six half terms,201617,local authority,E92000001,England,E12000009,South West,878,E10000008,Devon,Pupil Referral Unit,3,490,84037,21530,15376,6154,25.6,18.3,7.3,340,69.4,6713,952,2,59,5,88,.,203,7354,15376,147,714,5276,17,6154,21530
six half terms,201617,local authority,E92000001,England,E12000009,South West,879,E06000026,Plymouth,Pupil Referral Unit,1,393,73178,26063,13842,12221,35.6,18.9,16.7,261,66.4,3916,797,5,2,0,92,.,1759,7271,13842,92,233,11880,16,12221,26063
six half terms,201617,local authority,E92000001,England,E12000009,South West,880,E06000027,Torbay,Pupil Referral Unit,1,46,4352,1378,784,594,31.7,18,13.6,34,73.9,238,63,0,2,0,0,.,78,403,784,0,42,552,0,594,1378
six half terms,201617,local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,Pupil Referral Unit,6,995,219291,103612,79427,24185,47.2,36.2,11,845,84.9,8532,1525,2,526,0,84,.,2291,66467,79427,440,1306,22429,10,24185,103612
six half terms,201617,local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,Pupil Referral Unit,2,174,32841,9032,3607,5425,27.5,11,16.5,127,73,1077,178,0,0,0,77,.,210,1629,3171,64,85,4674,271,5094,8265
six half terms,201617,local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,Pupil Referral Unit,1,120,34485,15153,8800,6353,43.9,25.5,18.4,107,89.2,1309,207,0,255,0,32,.,849,6148,8800,94,337,5824,98,6353,15153
six half terms,201617,local authority,E92000001,England,E12000005,West Midlands,884,E06000019,Herefordshire,Pupil Referral Unit,1,79,21059,8347,4616,3731,39.6,21.9,17.7,72,91.1,878,217,0,460,0,18,.,385,2658,4616,10,228,3493,0,3731,8347
six half terms,201617,local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Pupil Referral Unit,6,428,92558,25660,16871,8789,27.7,18.2,9.5,307,71.7,3638,582,22,449,2,150,.,1842,10186,16871,140,149,8130,370,8789,25660
six half terms,201617,local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,Pupil Referral Unit,7,932,187192,77110,48437,28673,41.2,25.9,15.3,764,82,9790,2488,2,1513,1,60,.,393,34190,48437,381,245,28017,30,28673,77110
six half terms,201617,local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,Pupil Referral Unit,2,175,48372,8993,2829,6164,18.6,5.8,12.7,95,54.3,1508,212,0,0,2,34,.,728,345,2829,118,435,4978,633,6164,8993
